2,9,15,22,26,32|1
3,8,17,21,25,32|15
1,4,9,13,16,23|2
1,9,11,17,32,33|12
3,12,17,24,27,29|9
6,14,17,22,28,29|2
5,6,13,19,22,28|9
2,4,5,17,19,20|8
5,6,7,11,13,18|15
2,5,6,12,14,28|5
4,6,12,30,31,32|9
2,8,13,28,29,30|5
1,2,5,16,20,26|6
1,7,8,12,16,21|1
1,6,17,19,26,31|11
2,4,7,9,15,20|7
3,6,15,18,30,32|5
4,5,13,23,27,30|9
16,17,18,24,25,30|8
4,11,14,15,22,31|11
1,2,4,12,21,24|12
7,8,14,25,26,28|13
6,7,10,19,23,29|12
7,14,18,25,26,29|6
3,13,14,15,21,33|3
4,21,25,29,30,33|3
5,6,13,17,19,28|1
6,15,20,22,26,33|9
1,14,15,17,26,30|2
4,5,9,27,29,31|13
